outcode,latitude,longitude
RG25,51.22738078787876,-1.16307044949495
RG26,51.33990313867491,-1.1295194314329748
RG27,51.3045062056405,-0.9483520446533483
RG28,51.23431870638297,-1.3372707276595746
RG29,51.24593219708029,-0.946061638686131
RG30,51.45107654901974,-1.014782601651187
RG31,51.45636821909233,-1.0460055602503915
RG40,51.39920085884697,-0.8378555357852882
RG41,51.41691357642485,-0.8630440155440411
RG42,51.42802968280133,-0.7571547569515971
RG45,51.3721906718404,-0.798794361419068
SO14,50.907224412529494,-1.3973466004728154
SO15,50.91704838494437,-1.424478145423439
SO16,50.936752828033704,-1.433532670992861
SO17,50.92722699092972,-1.392499024943311
SO18,50.92418770169855,-1.3620093577494687
SO19,50.90193221290864,-1.3550068558256494
SO20,51.11657655942029,-1.5164047623188404
SO21,51.07520720726788,-1.316599507402424
SO22,51.066787556756715,-1.3352884000000003
SO23,51.06878779120886,-1.3086349096459091
SO24,51.08435416481074,-1.1471377371937643
SO25,51.067557,-1.297333
SO30,50.918643131868144,-1.3026640488400494
SO31,50.870124836579166,-1.3004655673158325
SO32,50.94798900298507,-1.2092188462686568
SO40,50.91298913135998,-1.5039221452358917
SO41,50.755356331180835,-1.566820895756457
SO42,50.815554560975606,-1.5367277073170729
SO43,50.886278737226284,-1.589351204379563
SO45,50.846835319587704,-1.3947895319587618
SO50,50.96900058225928,-1.3405747475360117
SO51,50.996120385227286,-1.503640795454545
SO52,50.97760395081966,-1.443933142076503
SO53,50.9860724285714,-1.3836413867595816
SO97,50.94847900000001,-1.3619510000000001
SP1,51.07523981547621,-1.7886908110119049
SP2,51.07515728320527,-1.826347486278811
SP3,51.10241592307687,-2.015696559171598
SP4,51.16592556768952,-1.7659346046931386
SP5,51.021410892753615,-1.7707311352656994
SP6,50.93641044352166,-1.8025174036544833
SP7,51.00508784069402,-2.184367380126179
SP8,51.03726856613755,-2.290923634920634
SP9,51.23340123443224,-1.6650073809523818
SP10,51.21139808298755,-1.4846285549792528
SP11,51.22798097224361,-1.5131925057825741
PO1,50.799468285087734,-1.089661858552633
PO2,50.81783969241013,-1.0774157736351544
PO3,50.81605765079367,-1.0592441473922907
PO4,50.790172528455294,-1.0620836043360424
PO5,50.7885941638847,-1.086082429438543
PO6,50.84657069205657,-1.069871250272034
PO7,50.882839528197046,-1.0407756131850694
PO8,50.913497420689694,-1.0116893425287352
PO9,50.863409153720305,-0.9840835233033538
PO10,50.85233228052802,-0.9288305792079211
PO11,50.792082377118696,-0.9759594788135588
PO12,50.797905710526315,-1.1417007133458656
PO13,50.81218425352113,-1.1811010537772082
PO14,50.83866540366096,-1.2190757292870904
PO15,50.868727373751845,-1.2292814236804557
PO16,50.85088259136543,-1.159157031124498
PO17,50.88996093373492,-1.173516695783132
PO18,50.86475578787873,-0.8161445584415581
PO19,50.83869688853745,-0.7786062292490148
PO20,50.78662522450592,-0.7813562996047427
PO21,50.78516517464992,-0.6993520552689749
PO22,50.80033489568705,-0.6475567041123359
PO24,,
PO30,50.69082028373386,-1.3138348752310525
PO31,50.75535027897002,-1.3074331931330476
PO32,50.75121298809525,-1.280897214285715
PO33,50.721631439363854,-1.1699733986083496
PO34,50.71589780327869,-1.113481934426229
PO35,50.68662835365854,-1.0852326768292688
PO36,50.65854717391301,-1.1638314528985505
PO37,50.63134989090907,-1.1796740696969694
PO38,50.60614424832219,-1.243979994966444
PO39,50.68034053913044,-1.5400915913043474
PO40,50.68258501706487,-1.5218835358361777
PO41,50.70094611258278,-1.475112933774835
BH1,50.724842903069536,-1.860154229402271
BH2,50.72102560363634,-1.8841804799999995
BH3,50.736526353846145,-1.883328823076923
BH4,50.72125558921161,-1.8996322074688803
